,date,ad,ad_type,primed,browser_size,dist,Air Travel,Eyewear,Food and Drinks,Headphones,Men's Fashion,None of the above,None of these products,Soda,TV Shows,Women's Fashion,Do you use ad blocking software on your computer?,How relevant was the ad to you?,Do you generally find that ads are relevant to you?,How important is it to you that ads help you find products you are interested in?,Did the ad you saw help you find a product you are interested in?,Do you think this ad technology can reliably help you find products you are interested in?,Do you have a smart phone?,How often do you make purchases using your mobile phone?,How often do you make purchases using your computer?,What is your age?,What is your gender?,What type of environment do you most identify with?
5434524125102080,2017-02-14 18:33:29.7918 UTC,TV Shows,new,True,"1536,759",315.4779160008943,True,False,True,False,False,False,False,False,True,False,Yes,3,3,3,4,4,Yes,Often (monthly),Very often (weekly),25-30 years old,Male,Urban
5448607054430208,2017-02-13 22:42:22.79358 UTC,Food and Drinks,new,True,"360,567",0.0,False,False,True,False,False,False,False,False,True,False,Yes,5,3,3,3,5,Yes,Very often (weekly),Often (monthly),25-30 years old,Male,Urban
5457932233736192,2017-02-14 15:52:26.53603 UTC,TV Shows,new,False,"1366,662",6882.037181783471,False,False,True,False,False,False,False,False,True,False,No,2,3,1,1,3,Yes,Never,Often (monthly),31-40 years old,Male,Urban
5461321231368192,2017-02-16 19:59:30.14746 UTC,TV Shows,new,True,"1366,654",6147.970998231401,False,False,False,False,False,False,False,False,True,False,What is ad blocking software?,2,2,3,1,1,No,Never,Often (monthly),40+ years old,Female,Rural
5493735081115648,2017-02-15 21:13:59.64952 UTC,Air Travel,old,False,"1536,731",1630.1816380141129,True,False,False,False,False,False,False,False,False,False,Yes,1,3,3,1,5,Yes,Sometimes (every 2-3 months),Very often (weekly),31-40 years old,Male,Urban
5629499534213120,2017-02-13 02:08:03.04967 UTC,Air Travel,new,False,"1440,776",1577.303797341448,True,False,False,False,False,False,False,False,False,False,Yes,3,3,4,1,3,Yes,Never,Often (monthly),25-30 years old,Female,Rural
5631383682678784,2017-02-18 20:40:01.879 UTC,Air Travel,old,False,"1263,647",1838.2927528114167,True,False,False,False,False,False,False,False,True,False,No,3,2,2,2,2,Yes,Sometimes (every 2-3 months),Sometimes (every 2-3 months),18-24 years old,Female,Urban
5631986051842048,2017-02-13 02:49:01.74627 UTC,TV Shows,new,False,"1366,662",1204.8695178111382,True,False,True,False,False,False,False,False,True,False,Yes,1,1,1,1,1,Yes,Sometimes (every 2-3 months),Often (monthly),25-30 years old,Other,Urban
5634472569470976,2017-02-13 02:44:06.77684 UTC,TV Shows,old,False,"1344,736",1545.3363211252397,True,False,True,False,False,False,False,False,True,False,Yes,1,1,1,1,1,Yes,Never,Often (monthly),31-40 years old,Male,Urban
5636026810761216,2017-02-18 21:20:14.73918 UTC,Air Travel,new,False,"1916,960",4823.566996081874,True,False,True,False,False,False,False,False,False,False,Yes,3,2,1,1,2,Yes,Often (monthly),Very often (weekly),25-30 years old,Male,Urban
